"lat";"lon";"PL136y";"PL137x";"PL137z";"PL197x";"pLat";"pLon";"pIdx";"pError"
-8.075461;-34.89629;138.9;130.5;124.05;144.7;-8.0754060989;-34.8964099034;981;0.0145604643893736
-8.067877;-34.900501;120.966666666667;127;125.566666666667;124.066666666667;-8.0679661774;-34.9004020564;2130;0.014746937159868
-8.068197;-34.890114;140.5;135.433333333333;148.833333333333;146.433333333333;-8.0681476389;-34.8902402124;3803;0.0149567711229456
-8.069453;-34.891014;121.7;130.366666666667;150.866666666667;135.333333333333;-8.0694178694;-34.8911475199;3255;0.0152270122469069
-8.077094;-34.897816;132.8;131.7;95.6;143.3;-8.0770392524;-34.8976801339;362;0.0161673160987946
-8.074375;-34.890209;115.6;132.6;153.5;137.4;-8.0743173299;-34.8900587509;1424;0.0177610335943929
-8.069979;-34.890102;115.466666666667;136.2;152.233333333333;142.566666666667;-8.0701437154;-34.8900587509;2988;0.0189454659282353
-8.070148;-34.889725;128.425;134.975;150.8;144.375;-8.0703251769;-34.8896958279;2922;0.0199838397836994
-8.067794;-34.89048;135.775;123.625;142.325;142.725;-8.0676032544;-34.8904216739;3938;0.022185698186028
-8.073966;-34.890381;107.533333333333;137.633333333333;149.166666666667;134.133333333333;-8.0741358684;-34.8902402124;1491;0.0244614457567754
-8.073347;-34.900574;138.4;144;136.333333333333;139.166666666667;-8.0732285609;-34.9007649794;4532;0.0248378006113958
-8.077086;-34.899464;134.9;148.066666666667;125.2;137.3;-8.0768577909;-34.8994947489;486;0.0256292949097888
-8.066701;-34.895088;139.9;138.4;133.833333333333;135.833333333333;-8.0666959469;-34.8953211344;3338;0.0257021490476805
-8.070804;-34.892105;117.65;130.55;141.65;141.15;-8.0708695614;-34.8918733659;3245;0.0265529930460291
-8.069831;-34.896339;120.733333333333;101.6;111.433333333333;125.466666666667;-8.0695993309;-34.8964099034;3157;0.0269475754180689
-8.069139;-34.889568;141.575;129;147.075;148.9;-8.0690549464;-34.8893329049;3400;0.0275495931242648
